表格 1
商品分类,年份,出口(亿美元),进口(亿美元),
"04章 乳品；蛋品；天然蜂蜜；
其他食用动物产品",2012,0.12,3.13,
05章 其他动物产品,2012,2.79,1.47,
第二类 植物产品,2012,12.50,182.44,
"06章 活树及其他活植物；鳞茎、根
及类似品；插花及装饰用簇叶",2012,0.19,0.05,
07章 食用蔬菜、根及块茎,2012,4.75,0.31,
"08章 食用水果及坚果；甜瓜或柑桔
属水果的果皮",2012,1.45,5.33,
09章 咖啡、茶、马黛茶及调味香料,2012,1.78,0.23,
10章 谷物,2012,0.01,18.92,
"11章 制粉工业产品；麦芽；淀粉；
菊粉；面筋",2012,0.25,0.11,
"12章 含油子仁及果实；杂项子仁及
果实；工业用或药用植物；
稻草、秸秆及饲料",2012,2.12,157.08,
"13章 虫胶；树胶、树脂及其他
植物液、汁",2012,1.86,0.30,
"14章 编结用植物材料；其他
植物产品",2012,0.10,0.11,
"第三类 动、植物油、脂及其分解
产品；精制的食用油脂；
动、植物蜡",2012,0.85,3.64,
"15章 动、植物油、脂及其分解产
品；精制的食用油脂；
动、植物蜡",2012,0.85,3.64,
"第四类 食品；饮料、酒及醋；
烟草、烟草及烟草代
用品的制品",2012,37.74,20.27,
"16章 肉、鱼、甲壳动物、软体动物
及其他水生无脊椎动物的制品",2012,11.91,0.06,
17章 糖及糖食,2012,1.56,1.29,
18章 可可及可可制品,2012,0.09,0.48,
"19章 谷物、粮食粉、淀粉或乳的
制品；糕饼点心",2012,1.37,1.03,
"20章 蔬菜、水果、坚果或植物其他
部分的制品",2012,13.68,2.06,
21章 杂项食品,2012,2.39,2.00,
22章 饮料、酒及醋,2012,0.41,0.91,
"23章 食品工业的残渣及废料；配制
的动物饲料",2012,6.24,11.23,
24章 烟草及烟草代用品的制品,2012,0.09,1.20,
第五类 矿产品,2012,17.70,49.45,
"25章 盐；硫磺；泥土及石料；石膏
料、石灰及水泥",2012,4.39,2.43,
26章 矿砂、矿渣及矿灰,2012,0.23,19.10,
"27章 矿物燃料、矿物油及其蒸馏产
品；沥青物质；矿物蜡",2012,13.08,27.92,
"第六类 化学工业及其相关工业的
产品",2012,116.98,123.58,
"28章 无机化学品；贵金属、稀土
金属、放射性元素及其同位
素的有机及无机化合物",2012,14.11,12.94,
29章 有机化学品,2012,61.45,42.23,
30章 药品,2012,9.65,15.46,
31章 肥料,2012,2.32,0.86,
"32章 鞣料浸膏及染料浸膏；鞣酸及
其衍生物；染料、颜料及其他
着色料；油漆及清漆；油灰及
其他类似胶粘剂；墨水、油墨",2012,4.82,4.25,
"33章 精油及香膏；芳香料制品
及化妆盥洗品",2012,7.61,2.80,
"34章 肥皂、有机表面活性剂、洗涤
剂、润滑剂、人造蜡、调制蜡、
光洁剂、蜡烛及类似品、塑型
用膏、“牙科用蜡”及牙科用
熟石膏制剂",2012,2.95,6.45,
"35章 蛋白类物质；改性淀粉；
胶；酶",2012,2.34,3.71,
"36章 炸药；烟火制品；火柴；
引火合金；易燃材料制品",2012,2.00,0.53,
37章 照相及电影用品,2012,0.66,4.69,
38章 杂项化学产品,2012,9.06,29.66,
"第七类 塑料及其制品，橡胶及其
制品",2012,160.03,76.66,
39章 塑料及其制品,2012,115.83,63.33,
40章 橡胶及其制品,2012,44.20,13.33,
"第八类 生皮、皮革、毛皮及其制品；
鞍具及挽具；旅行用品、手
提包及类似品:动物肠线
(蚕胶丝除外)制品",2012,71.87,15.79,
41章 生皮(毛皮除外)及皮革,2012,0.22,15.29,
"42章 皮革制品；鞍具及挽具；旅行
用品、手提包及类似容器；动
物肠线(蚕胶丝除外)制品",2012,71.18,0.12,
43章 毛皮、人造毛皮及其制品,2012,0.47,0.38,
"第九类 木及木制品；木炭；软木及
软木制品；稻草，秸秆、针
茅或其他编结材料制品；篮
筐及柳条编结品",2012,32.84,16.72,
44章 木及木制品；木炭,2012,29.27,16.72,
45章 软木及软木制品,2012,0.05,0.00,
"46章 稻草、秸秆、针茅或其他编结
材料制品；篮筐及柳条编结品",2012,3.52,0.00,
"第十类 木浆及其他纤维状纤维素
浆；纸及纸板的废碎品；
纸、纸板及其制品",2012,32.27,56.13,
"47章 木浆及其他纤维状纤维素浆；
纸及纸板的废碎品",2012,0.04,44.01,
"48章 纸及纸板；纸浆、纸或纸板
制品",2012,22.79,8.60,
"49章 书籍、报纸、印刷图画及其他
印制品；手稿、打字稿及设计
图纸",2012,9.44,3.52,
第十一类 纺织原料及纺织制品,2012,361.65,49.63,
50章 蚕丝,2012,0.45,0.01,
"51章 羊毛、动物细毛或粗毛；马毛
纱线及其机织物",2012,0.35,0.14,
52章 棉花,2012,2.86,37.90,
"53章 其他植物纺织纤维；纸纱线及
其机织物",2012,0.42,0.00,
54章 化学纤维长丝,2012,4.81,1.23,
55章 化学纤维短纤,2012,5.05,5.96,
"56章 絮胎、毡呢及无纺织物；特种
纱线；线、绳、索、缆及其制品",2012,4.51,2.05,
"57章 地毯及纺织材料的其他
铺地制品",2012,4.67,0.27,
"58章 特种机织物；簇绒织物；花边；
装饰毯；装饰带；刺绣品",2012,3.74,0.19,
"59章 浸渍、涂布、包覆或层压的
纺织物；工业用纺织制品",2012,4.56,1.03,
60章 针织物及钩编织物,2012,5.79,0.18,
61章 针织或钩编的服装及衣着附件,2012,136.67,0.17,
"62章 非针织或非钩编的服装及
衣着附件",2012,125.16,0.14,
"63章 其他纺织制成品；成套物品；
旧衣着及旧纺织品；碎织物",2012,62.62,0.35,
"第十二类 鞋、帽、伞、杖、鞭及其
零件；已加工的羽毛及其
制品；人造花；人发制品",2012,163.89,0.91,
64章 鞋靴、护腿和类似品及其零件,2012,129.21,0.80,
65章 帽类及其零件,2012,10.58,0.02,
"66章 雨伞、阳伞、手杖、鞭子、马
鞭及其零件",2012,4.31,0.00,
"67章 已加工羽毛、羽绒及其制品；
人造花；人发制品",2012,19.79,0.09,
"第十三类 石料、石膏、水泥、石
棉、云母及类似材料的
制品；陶瓷产品；玻璃
及其制品",2012,52.94,9.53,
"68章 石料、石膏、水泥、石棉、
云母及类似材料的制品",2012,8.43,1.44,
69章 陶瓷产品,2012,22.81,0.67,
70章 玻璃及其制品,2012,21.70,7.42,
"第十四类 天然或养殖珍珠、宝石或
半宝石、贵金属、包贵金
属及其制品；仿首饰；
硬币",2012,28.83,3.92,
"71章 天然或养殖珍珠、宝石或半宝
石、贵金属、包贵金属及其制
品；仿首饰；硬币",2012,28.83,3.92,
第十五类 贱金属及其制品,2012,190.45,85.02,
72章 钢铁,2012,14.98,7.78,
73章 钢铁制品,2012,85.97,10.69,
74章 铜及其制品,2012,4.81,40.27,
75章 镍及其制品,2012,0.22,2.36,
76章 铝及其制品,2012,21.51,16.36,
78章 铅及其制品,2012,0.02,0.01,
79章 锌及其制品,2012,0.25,0.48,
80章 锡及其制品,2012,0.15,0.07,
81章 其他贱金属、金属陶瓷及其制品,2012,6.06,1.86,
"82章 贱金属工具、器具、利口器、
餐匙、餐叉及其零件",2012,26.86,3.42,
83章 贱金属杂项制品,2012,29.61,1.74,
"第十六类 机器、机械器具、电气设
备及其零件；录音机及放
声机、电视图像、声音的
录制和重放设备及
其零件、附件",2012,1633.18,289.80,
"84章 核反应堆、锅炉、机器、
机械器具及其零件",2012,858.93,146.74,
"85章 电机、电气设备及其零件；录
音机及放声机、电视图像、声
音的录制和重放设备及其零
件、附件",2012,774.25,143.06,
"第十七类 车辆、航空器、船舶及
有关运输设备",2012,133.83,159.53,
"86章 铁道及电车道机车、车辆及其
零件；铁道及电车轨道固定装
置及其零件、附件；各种机械
(包括电动机械)交通信号设备",2012,30.23,1.06,
"87章 车辆及其零件、附件，但铁道
及电车道车辆除外",2012,96.79,81.90,
88章 航空器、航天器及其零件,2012,5.45,75.91,
89章 船舶及浮动结构体,2012,1.36,0.67,
"第十八类 光学、照相、电影、计量、
检验、医疗或外科用仪器
及设备、精密仪器及设备；
钟表；乐器；上述物品
的零件、附件",2012,94.80,100.82,
"90章 光学、照相、电影、计量、
检验、医疗或外科用仪器
及设备、精密仪器及设备；
上述物品的零件、附件",2012,84.73,100.66,
91章 钟表及其零件,2012,5.65,0.05,
92章 乐器及其零件、附件,2012,4.42,0.12,
"第十九类 武器、弹药及其零件、
附件",2012,0.85,0.00,
93章 武器、弹药及其零件、附件,2012,0.85,0.00,
第二十类 杂项制品,2012,353.77,4.01,
"94章 家具；寝具、褥垫、弹簧床垫、
软坐垫及类似的填充制品；未列
名灯具及照明装置；发光标志、
发光名牌及类似品；活动房屋",2012,210.23,2.78,
"95章 玩具、游戏品、运动用品及
其零件、附件",2012,121.87,0.64,
96章 杂项制品,2012,21.67,0.59,
第二十一类 艺术品、收藏品及古物,2012,1.02,0.05,
97章 艺术品、收藏品及古物,2012,1.02,0.05,
第二十二类 特殊交易品及未分类商品,2012,0.14,51.19,
98章 特殊交易品及未分类商品,2012,0.14,51.19,
总额,2013,3684.06,1523.42,
第一类 活动物；动物产品,2013,20.62,29.91,
01章 活动物,2013,0.19,0.71,
02章 肉及食用杂碎,2013,0.04,11.77,
"03章 鱼、甲壳动物、软体动物及
其他水生无脊椎动物",2013,17.38,10.62,
"04章 乳品；蛋品；天然蜂蜜；
其他食用动物产品",2013,0.12,5.45,
05章 其他动物产品,2013,2.89,1.36,
第二类 植物产品,2013,12.70,164.96,
"06章 活树及其他活植物；鳞茎、根
及类似品；插花及装饰用簇叶",2013,0.21,0.05,
07章 食用蔬菜、根及块茎,2013,4.48,0.48,
"08章 食用水果及坚果；甜瓜或柑桔
属水果的果皮",2013,1.42,4.58,
09章 咖啡、茶、马黛茶及调味香料,2013,1.87,0.19,
10章 谷物,2013,0.02,22.03,
"11章 制粉工业产品；麦芽；淀粉；
菊粉；面筋",2013,0.19,0.18,
"12章 含油子仁及果实；杂项子仁及
果实；工业用或药用植物；
稻草、秸秆及饲料",2013,2.08,137.02,
"13章 虫胶；树胶、树脂及其他
植物液、汁",2013,2.35,0.30,
"14章 编结用植物材料；其他
植物产品",2013,0.09,0.12,
"第三类 动、植物油、脂及其分解
产品；精制的食用油脂；
动、植物蜡",2013,1.04,1.83,
"15章 动、植物油、脂及其分解产
品；精制的食用油脂；
动、植物蜡",2013,1.04,1.83,
"第四类 食品；饮料、酒及醋；
烟草、烟草及烟草代
用品的制品",2013,37.41,27.81,
"16章 肉、鱼、甲壳动物、软体动物
及其他水生无脊椎动物的制品",2013,13.34,0.05,
17章 糖及糖食,2013,1.63,1.23,
18章 可可及可可制品,2013,0.09,0.58,
"19章 谷物、粮食粉、淀粉或乳的
制品；糕饼点心",2013,1.52,0.61,
"20章 蔬菜、水果、坚果或植物其他
部分的制品",2013,12.68,2.00,
21章 杂项食品,2013,2.69,2.92,
22章 饮料、酒及醋,2013,0.42,1.15,
"23章 食品工业的残渣及废料；配制
的动物饲料",2013,4.89,17.53,
24章 烟草及烟草代用品的制品,2013,0.16,1.74,
第五类 矿产品,2013,16.98,53.00,
"25章 盐；硫磺；泥土及石料；石膏
料、石灰及水泥",2013,3.65,2.03,
26章 矿砂、矿渣及矿灰,2013,0.25,22.57,
"27章 矿物燃料、矿物油及其蒸馏产
品；沥青物质；矿物蜡",2013,13.08,28.40,
"第六类 化学工业及其相关工业的
产品",2013,118.34,125.60,
"28章 无机化学品；贵金属、稀土
金属、放射性元素及其同位
素的有机及无机化合物",2013,13.28,10.45,
29章 有机化学品,2013,63.16,39.82,
30章 药品,2013,10.42,18.12,
31章 肥料,2013,1.99,0.66,
"32章 鞣料浸膏及染料浸膏；鞣酸及
其衍生物；染料、颜料及其他
着色料；油漆及清漆；油灰及
其他类似胶粘剂；墨水、油墨",2013,5.04,5.01,
"33章 精油及香膏；芳香料制品
及化妆盥洗品",2013,7.82,3.51,
"34章 肥皂、有机表面活性剂、洗涤
剂、润滑剂、人造蜡、调制蜡、
光洁剂、蜡烛及类似品、塑型
用膏、“牙科用蜡”及牙科用
熟石膏制剂",2013,2.78,7.75,
"35章 蛋白类物质；改性淀粉；
胶；酶",2013,2.34,3.96,
"36章 炸药；烟火制品；火柴；
引火合金；易燃材料制品",2013,2.06,0.67,
37章 照相及电影用品,2013,0.60,5.53,
38章 杂项化学产品,2013,8.85,30.12,
"第七类 塑料及其制品，橡胶及其
制品",2013,170.81,75.95,
39章 塑料及其制品,2013,121.67,63.24,
40章 橡胶及其制品,2013,49.14,12.71,
"第八类 生皮、皮革、毛皮及其制品；
鞍具及挽具；旅行用品、手
提包及类似品:动物肠线
(蚕胶丝除外)制品",2013,72.57,18.58,
41章 生皮(毛皮除外)及皮革,2013,0.23,17.85,
"42章 皮革制品；鞍具及挽具；旅行
用品、手提包及类似容器；动
物肠线(蚕胶丝除外)制品",2013,71.78,0.12,
43章 毛皮、人造毛皮及其制品,2013,0.56,0.61,
"第九类 木及木制品；木炭；软木及
软木制品；稻草，秸秆、针
茅或其他编结材料制品；篮
筐及柳条编结品",2013,34.63,23.88,
44章 木及木制品；木炭,2013,30.86,23.87,
45章 软木及软木制品,2013,0.06,0.00,
"46章 稻草、秸秆、针茅或其他编结
材料制品；篮筐及柳条编结品",2013,3.71,0.00,
"第十类 木浆及其他纤维状纤维素
浆；纸及纸板的废碎品；
纸、纸板及其制品",2013,34.90,56.20,
"47章 木浆及其他纤维状纤维素浆；
纸及纸板的废碎品",2013,0.01,42.81,
"48章 纸及纸板；纸浆、纸或纸板
制品",2013,24.23,9.28,
"49章 书籍、报纸、印刷图画及其他
印制品；手稿、打字稿及设计
图纸",2013,10.66,4.11,
第十一类 纺织原料及纺织制品,2013,389.43,38.16,
50章 蚕丝,2013,0.41,0.00,
"51章 羊毛、动物细毛或粗毛；马毛
纱线及其机织物",2013,0.38,0.13,
52章 棉花,2013,2.83,26.19,
"53章 其他植物纺织纤维；纸纱线及
其机织物",2013,0.50,0.01,
54章 化学纤维长丝,2013,5.34,1.33,
55章 化学纤维短纤,2013,4.96,6.01,
"56章 絮胎、毡呢及无纺织物；特种
纱线；线、绳、索、缆及其制品",2013,4.97,1.97,
"57章 地毯及纺织材料的其他
铺地制品",2013,4.38,0.26,
"58章 特种机织物；簇绒织物；花边；
装饰毯；装饰带；刺绣品",2013,3.84,0.24,
"59章 浸渍、涂布、包覆或层压的
纺织物；工业用纺织制品",2013,4.60,1.09,
60章 针织物及钩编织物,2013,6.65,0.20,
61章 针织或钩编的服装及衣着附件,2013,148.05,0.15,
"62章 非针织或非钩编的服装及
衣着附件",2013,133.91,0.16,
"63章 其他纺织制成品；成套物品；
旧衣着及旧纺织品；碎织物",2013,68.62,0.43,
"第十二类 鞋、帽、伞、杖、鞭及其
零件；已加工的羽毛及其
制品；人造花；人发制品",2013,166.85,0.97,
64章 鞋靴、护腿和类似品及其零件,2013,132.52,0.72,
65章 帽类及其零件,2013,10.18,0.03,
"66章 雨伞、阳伞、手杖、鞭子、马
鞭及其零件",2013,4.57,0.00,
"67章 已加工羽毛、羽绒及其制品；
人造花；人发制品",2013,19.57,0.22,
"第十三类 石料、石膏、水泥、石
棉、云母及类似材料的
制品；陶瓷产品；玻璃
及其制品",2013,57.24,12.29,
"68章 石料、石膏、水泥、石棉、
云母及类似材料的制品",2013,10.52,1.57,
69章 陶瓷产品,2013,23.24,0.69,
70章 玻璃及其制品,2013,23.48,10.03,
"第十四类 天然或养殖珍珠、宝石或
半宝石、贵金属、包贵金
属及其制品；仿首饰；
硬币",2013,38.52,4.49,
"71章 天然或养殖珍珠、宝石或半宝
石、贵金属、包贵金属及其制
品；仿首饰；硬币",2013,38.52,4.49,
第十五类 贱金属及其制品,2013,198.41,80.94,
72章 钢铁,2013,14.89,7.28,
73章 钢铁制品,2013,85.57,11.49,
74章 铜及其制品,2013,4.91,34.15,
75章 镍及其制品,2013,0.32,2.58,
76章 铝及其制品,2013,25.68,17.59,
78章 铅及其制品,2013,0.02,0.02,
79章 锌及其制品,2013,0.45,0.58,
80章 锡及其制品,2013,0.35,0.05,
81章 其他贱金属、金属陶瓷及其制品,2013,5.49,2.21,
"82章 贱金属工具、器具、利口器、
餐匙、餐叉及其零件",2013,29.51,3.21,
83章 贱金属杂项制品,2013,31.23,1.78,
"第十六类 机器、机械器具、电气设
备及其零件；录音机及放
声机、电视图像、声音的
录制和重放设备及
其零件、附件",2013,1693.32,383.27,
"84章 核反应堆、锅炉、机器、
机械器具及其零件",2013,865.90,154.71,
"85章 电机、电气设备及其零件；录
音机及放声机、电视图像、声
音的录制和重放设备及其零
件、附件",2013,827.41,228.57,
